,molecule_chembl_id,canonical_smiles,standard_relation,standard_value,standard_units,standard_value_nM
6569,CHEMBL4241367,Cc1ccc(-n2nc(COC(=O)COc3cc(O)c4c(=O)cc(-c5ccccc5)oc4c3)cc2-c2ccc(F)cc2)cc1,=,2840.0,nM,2840.0
5983,CHEMBL3736014,CS(=O)(=O)c1ccc(C2=NN(c3ccc(C(=O)O)cc3)C(c3ccc(F)cc3)C2)cc1,=,2840.0,nM,2840.0
403,CHEMBL110145,Cc1ncccc1-c1nc(C(F)(F)F)cn1-c1ccc(S(N)(=O)=O)cc1,=,2818.38,nM,2818.38
7864,CHEMBL5272219,CC(=O)c1cc2cc(-c3cccc(Cl)c3)oc2cc1O,=,2810.0,nM,2810.0
6345,CHEMBL4066899,Cc1c(C(=O)N2CCNCC2)nc2ccc(Cl)cc2c1O,=,2810.0,nM,2810.0
7398,CHEMBL5080948,COC(=O)[C@H](Cc1c[nH]c2ccccc12)n1nncc1COc1ccc2ccccc2c1-c1c(OCc2cnnn2[C@@H](Cc2c[nH]c3ccccc23)C(=O)OC)ccc2ccccc12,=,2800.0,nM,2800.0
6863,CHEMBL4451192,Nc1nc(-c2ccccc2)cc(-c2cn(-c3ccccc3)nc2-c2ccc(OCc3ccccc3)cc2)n1,=,2800.0,nM,2800.0
4840,CHEMBL1916955,O=C(NS(=O)(=O)c1ccc(Br)cc1)c1cncc(C(=O)NS(=O)(=O)c2ccc(Br)cc2)c1,=,2800.0,nM,2800.0
967,CHEMBL344540,COc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)c(CNC(C)=O)c2)cc1,=,2800.0,nM,2800.0
3112,CHEMBL466815,COc1ccc(Nc2c(-c3ccc(S(C)(=O)=O)cc3)nc3ccccn23)cc1,=,2800.0,nM,2800.0
5638,CHEMBL3264695,Brc1ccc(-n2cc(CSc3nc4ccccc4o3)nn2)cc1,=,2800.0,nM,2800.0
672,CHEMBL74276,COc1ccc(C(=O)c2ccccc2)cc1C(C)C(=O)O,=,2800.0,nM,2800.0
3832,CHEMBL1766301,Cc1ccc(-c2cc(CCCNC(=O)Nc3cccc(C(F)(F)F)c3)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,=,2800.0,nM,2800.0
6862,CHEMBL4448607,CC(=O)n1nc(-c2ccc(Cl)cc2)cc1-c1cn(-c2ccccc2)nc1-c1ccc(OCc2ccccc2)cc1,=,2790.0,nM,2790.0
6347,CHEMBL4066211,Cc1c(C(=O)NC(CO)Cc2ccccc2)nc2ccc(Cl)cc2c1O,=,2780.0,nM,2780.0
5525,CHEMBL3087873,Cc1ccc2oc(=O)n(Cc3cn(-c4ccc(Br)cc4)nn3)c2c1,=,2780.0,nM,2780.0
2835,CHEMBL270243,NS(=O)(=O)c1ccc(/N=C/c2cccc(O)c2)cc1,=,2780.0,nM,2780.0
1431,CHEMBL161619,CCCCCCCCCCCCCCCc1cccc(OC)c1CSc1nc2ccccc2o1,=,2770.0,nM,2770.0
5641,CHEMBL3264698,Brc1ccccc1-n1cc(CSc2nc3ccccc3o2)nn1,=,2750.0,nM,2750.0
3107,CHEMBL956,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,=,2750.0,nM,2750.0
7106,CHEMBL451044,CCCCCCCCCCCCCc1cc(O)cc(O)c1,=,2740.0,nM,2740.0
5916,CHEMBL3410363,NS(=O)(=O)c1ccc(N2N=C3c4ccccc4OCC3C2c2ccc(Cl)cc2Cl)cc1,=,2740.0,nM,2740.0
2844,CHEMBL406434,COC(=O)c1ccc(/C=N/c2ccc(S(N)(=O)=O)cc2)cc1,=,2730.0,nM,2730.0
7114,CHEMBL4750752,CCCCCCCCCCCCCCCc1cc(O)cc(OC)c1O,=,2710.0,nM,2710.0
2826,CHEMBL270087,COc1cc(/C=N/c2ccc(S(N)(=O)=O)cc2)cc(OC)c1O,=,2710.0,nM,2710.0
3104,CHEMBL497677,CC(C(=O)OCC(CO[N+](=O)[O-])O[N+](=O)[O-])c1ccc(C(=O)c2cccs2)cc1,=,2700.0,nM,2700.0
5527,CHEMBL3087875,O=c1oc2ccc(Cl)cc2n1Cc1cn(-c2ccc(Cl)cc2)nn1,=,2700.0,nM,2700.0
3114,CHEMBL493969,CC(=O)c1cc(C(C)=O)c2c(=O)cc(-c3ccccc3)oc2c1,=,2700.0,nM,2700.0
2029,CHEMBL92233,Cc1ccncc1-c1ncc(Cl)cc1-c1ccc(S(C)(=O)=O)cc1,=,2700.0,nM,2700.0
5105,CHEMBL2160139,Cc1cccc(C2CC(c3ccc(C)c(C)c3)=NN2C2=NC(=O)CS2)c1,=,2700.0,nM,2700.0
3633,CHEMBL1221731,CCCCC(=C(c1ccccc1)c1ccccc1)c1ccc(S(C)(=O)=O)cc1,=,2700.0,nM,2700.0
6555,CHEMBL4206180,COc1ccc(C(=O)Nc2ccc3oc(-c4ccc(OC)c(OC)c4)nc3c2)cc1OC,=,2700.0,nM,2700.0
964,CHEMBL16127,C=CCONC1=NC(=O)/C(=C/c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)S1,=,2700.0,nM,2700.0
6060,CHEMBL3774754,CC(C(=O)O)c1ccc(-c2cccc(OC(=O)Nc3ccccc3)c2)c(F)c1,=,2700.0,nM,2700.0
3804,CHEMBL1682232,CS(=O)(=O)c1ccc(-c2nnnn2-c2ccc(F)cc2)cc1,=,2700.0,nM,2700.0
5104,CHEMBL2160142,O=C1CSC(N2N=C(c3ccc(Cl)c(Cl)c3)CC2c2ccccc2)=N1,=,2700.0,nM,2700.0
5920,CHEMBL3425990,CC(=O)/N=C/Cc1ccc2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](NC(C)=O)O2,=,2700.0,nM,2700.0
3533,CHEMBL1079877,CS(=O)(=O)Nc1ccncc1Nc1ccccc1,=,2690.0,nM,2690.0
3524,CHEMBL1081856,Cc1ccccc1Nc1cnccc1NS(=O)(=O)C(F)(F)F,=,2690.0,nM,2690.0
5992,CHEMBL3735721,CS(=O)(=O)c1ccc(C2=NN(c3ccc(S(N)(=O)=O)cc3)C(c3ccc(Cl)cc3)C2)cc1,=,2670.0,nM,2670.0
