,molecule_chembl_id,canonical_smiles,standard_relation,standard_value,standard_units,standard_value_nM
5184,CHEMBL272433,CCSc1cc(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,833335724.28,nM,833335724.28
5186,CHEMBL270078,CS(=O)(=O)c1ccc(-c2nc(Cl)cc(NCc3cccs3)n2)cc1,=,833335724.28,nM,833335724.28
5229,CHEMBL271338,CS(=O)(=O)c1ccc(-c2nc(NCc3cccs3)cc(C(F)(F)F)n2)cc1,=,476200667.69,nM,476200667.69
5319,CHEMBL346288,CS(=O)(=O)c1ccc(-c2sc3nncn3c2-c2ccccc2)cc1,=,446683592.15,nM,446683592.15
5173,CHEMBL271549,COCCOc1cc(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,416667857.98,nM,416667857.98
5188,CHEMBL270293,COc1cc(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,400000007.99,nM,400000007.99
5174,CHEMBL271173,CCOc1cc(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,300006041.09,nM,300006041.09
5324,CHEMBL347378,COc1cccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)sc3ncnn23)c1,=,257039578.28,nM,257039578.28
5208,CHEMBL270294,CS(=O)(=O)c1ccc(-c2nc(SCc3cccs3)cc(C(F)(F)F)n2)cc1,=,243904604.99,nM,243904604.99
5318,CHEMBL157623,CS(=O)(=O)c1ccc(-c2c(-c3ccccc3)sc3nncn23)cc1,=,229086765.28,nM,229086765.28
5189,CHEMBL271932,COc1cc(NCc2ccccc2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,196078510.88,nM,196078510.88
7544,CHEMBL5275257,Cc1nn(-c2ccccc2)c2c1C(c1ccccc1[N+](=O)[O-])C(C#N)=C(/N=C/c1ccccc1)O2,=,193820629.61,nM,193820629.61
5194,CHEMBL403957,CS(=O)(=O)c1ccc(-c2nc(NCc3ccc(Cl)s3)cc(C(F)(F)F)n2)cc1,=,185186788.4,nM,185186788.4
5176,CHEMBL259468,CCN(CC)c1cc(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,163938138.72,nM,163938138.72
5323,CHEMBL348104,Cc1nc2sc(-c3ccc(S(C)(=O)=O)cc3)c(-c3cccc(F)c3)n2n1,=,151356124.84,nM,151356124.84
5172,CHEMBL271348,CS(=O)(=O)c1ccc(-c2nc(NCc3cccs3)cc(OC3CCCC3)n2)cc1,=,133333721.21,nM,133333721.21
5177,CHEMBL405564,CS(=O)(=O)c1ccc(-c2nccc(NCc3cccs3)n2)cc1,=,108697611.23,nM,108697611.23
5192,CHEMBL271104,CC(C)c1cc(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,102042243.87,nM,102042243.87
5178,CHEMBL271614,CC(C)Nc1cc(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,97088993.75,nM,97088993.75
5187,CHEMBL270305,CS(=O)(=O)c1ccc(-c2nc(Cl)cc(NCc3ccccc3)n2)cc1,=,91744491.94,nM,91744491.94
5195,CHEMBL269818,Cc1ccc(CNc2cc(C(F)(F)F)nc(-c3ccc(S(C)(=O)=O)cc3)n2)s1,=,85471239.08,nM,85471239.08
5325,CHEMBL155980,CS(=O)(=O)c1ccc(-c2sc3ncnn3c2-c2cc(F)cc(F)c2)cc1,=,79432823.47,nM,79432823.47
3277,CHEMBL404515,Oc1cc(O)c2cc(O)c(-c3ccc(O)c(O)c3)[o+]c2c1,=,60000000.0,nM,60000000.0
5171,CHEMBL272862,Cc1c(NCc2ccccc2)nc(-c2ccc(S(C)(=O)=O)cc2)nc1C(F)(F)F,=,55555876.01,nM,55555876.01
5326,CHEMBL348645,CS(=O)(=O)c1ccc(-c2sc3ncnn3c2-c2ccc(F)c(F)c2)cc1,=,47863009.23,nM,47863009.23
5166,CHEMBL257678,Cc1c(NCc2ccc(F)cc2)nc(-c2ccc(S(C)(=O)=O)cc2)nc1C(F)(F)F,=,44643681.39,nM,44643681.39
5185,CHEMBL408788,CCSc1cc(NCc2ccccc2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,41494448.81,nM,41494448.81
5193,CHEMBL255378,CC(C)c1cc(NCc2ccccc2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,39525739.13,nM,39525739.13
5327,CHEMBL156493,CS(=O)(=O)c1ccc(-c2sc3ncnn3c2-c2ccc(F)cc2)cc1,=,36307805.48,nM,36307805.48
5217,CHEMBL270730,Cn1cccc1CNc1cc(C(F)(F)F)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,34722421.12,nM,34722421.12
5320,CHEMBL346094,CS(=O)(=O)c1ccc(-c2c(-c3ccccc3)sc3ncnn23)cc1,=,32359365.69,nM,32359365.69
5190,CHEMBL405071,CC(C)(C)c1cc(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,32154369.64,nM,32154369.64
5212,CHEMBL2234864,CS(=O)(=O)c1ccc(-c2nc(NC3CC=CCC3)cc(C(F)(F)F)n2)cc1,=,30395549.56,nM,30395549.56
5164,CHEMBL257677,CS(=O)(=O)c1ccc(-c2nc(Cl)cc(NCc3ccc(F)cc3)n2)cc1,=,29674267.0,nM,29674267.0
5167,CHEMBL257108,Cc1ccc(CNc2nc(-c3ccc(S(C)(=O)=O)cc3)nc(Cl)c2C)cc1,=,27248336.88,nM,27248336.88
5175,CHEMBL406527,CC[S+]([O-])c1cc(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,26596225.1,nM,26596225.1
5170,CHEMBL272678,Cc1c(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)nc1C(F)(F)F,=,26178213.18,nM,26178213.18
5316,CHEMBL6,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,=,25703957.83,nM,25703957.83
5168,CHEMBL257299,Cc1ccc(CNc2cc(Cl)nc(-c3ccc(S(C)(=O)=O)cc3)n2)cc1,=,22522676.55,nM,22522676.55
5328,CHEMBL157820,CS(=O)(=O)c1ccc(-c2sc3ncnn3c2-c2cccc(F)c2)cc1,=,21877616.24,nM,21877616.24
5227,CHEMBL272627,CS(=O)(=O)c1ccc(-c2nc(NCc3ccsc3)cc(C(F)(F)F)n2)cc1,=,21505522.57,nM,21505522.57
5205,CHEMBL270510,Cc1ccc(CNc2cc(C(F)(F)F)nc(-c3ccc(S(C)(=O)=O)cc3)n2)cc1,=,20661412.1,nM,20661412.1
5181,CHEMBL269832,CS(=O)(=O)c1ccc(-c2nc(O)cc(NCc3ccccc3)n2)cc1,=,20284298.83,nM,20284298.83
5333,CHEMBL348087,Cc1nc2sc(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccccc3)n2n1,=,19952623.15,nM,19952623.15
5228,CHEMBL408215,NS(=O)(=O)c1ccc(-c2nc(NCc3ccsc3)cc(C(F)(F)F)n2)cc1,=,19268149.18,nM,19268149.18
1383,CHEMBL25,CC(=O)Oc1ccccc1C(=O)O,=,18000000.0,nM,18000000.0
5332,CHEMBL156399,CCc1nc2sc(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccccc3)n2n1,=,15135612.48,nM,15135612.48
5163,CHEMBL256847,Cc1c(Cl)nc(-c2ccc(S(C)(=O)=O)cc2)nc1NCc1ccc(F)cc1,=,14535166.13,nM,14535166.13
5231,CHEMBL271339,CS(=O)(=O)c1ccc(-c2nc(NCc3ccccc3)cc(C(F)(F)F)n2)cc1,=,14084777.8,nM,14084777.8
5204,CHEMBL405841,CS(=O)(=O)c1ccc(-c2nc(NCc3ccc(F)cc3)cc(C(F)(F)F)n2)cc1,=,12953585.62,nM,12953585.62
5322,CHEMBL155927,CS(=O)(=O)c1ccc(-c2sc3nc(C(F)(F)F)nn3c2-c2cccc(F)c2)cc1,=,12882495.52,nM,12882495.52
5180,CHEMBL272393,CS(=O)(=O)c1ccc(-c2nc(O)cc(NCc3cccs3)n2)cc1,=,12594473.01,nM,12594473.01
5218,CHEMBL405123,CS(=O)(=O)c1ccc(-c2nc(NCc3nccs3)cc(C(F)(F)F)n2)cc1,=,11961895.39,nM,11961895.39
5183,CHEMBL272239,CCS(=O)(=O)c1cc(NCc2ccccc2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,11025543.32,nM,11025543.32
5329,CHEMBL348115,CC(C)c1nc2sc(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccccc3)n2n1,=,10964781.96,nM,10964781.96
5191,CHEMBL271103,CC(C)(C)c1cc(NCc2ccccc2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,10649764.4,nM,10649764.4
5334,CHEMBL158316,CS(=O)(=O)c1ccc(-c2sc3ncnn3c2-c2ccccc2)cc1,=,10000000.0,nM,10000000.0
5165,CHEMBL404362,CCc1c(NCc2ccc(F)cc2)nc(-c2ccc(S(C)(=O)=O)cc2)nc1C(F)(F)F,=,9727696.22,nM,9727696.22
5169,CHEMBL270517,CCc1c(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)nc1C(F)(F)F,=,8271418.6,nM,8271418.6
5223,CHEMBL271551,CS(=O)(=O)c1ccc(-c2nc(NCc3ccco3)cc(C(F)(F)F)n2)cc1,=,7142989.31,nM,7142989.31
5222,CHEMBL442706,NS(=O)(=O)c1ccc(-c2nc(NCc3cc4ccccc4s3)cc(C(F)(F)F)n2)cc1,=,7122623.69,nM,7122623.69
2369,CHEMBL69030,CS(=O)(=O)c1ccc(-c2occ(Cl)c(=O)c2-c2cccnc2)cc1,=,7048553.49,nM,7048553.49
5182,CHEMBL408216,CCS(=O)(=O)c1cc(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,6920540.27,nM,6920540.27
2365,CHEMBL69683,COc1ccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)occ(Cl)c2=O)cc1,=,6870684.4,nM,6870684.4
5230,CHEMBL271337,NS(=O)(=O)c1ccc(-c2nc(NCc3cccs3)cc(C(F)(F)F)n2)cc1,=,6345268.44,nM,6345268.44
2359,CHEMBL309156,CS(=O)(=O)c1ccc(-c2occ(Cl)c(=O)c2-c2ccccc2F)cc1,=,6309573.44,nM,6309573.44
5330,CHEMBL157714,C=Cc1nc2sc(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccccc3)n2n1,=,6025595.86,nM,6025595.86
6189,CHEMBL3974473,Cc1cc(C)c2c(=O)n(CN(C)CCNc3ccccc3)sc2n1,=,5248074.6,nM,5248074.6
5197,CHEMBL403827,CS(=O)(=O)c1ccc(-c2nc(NCc3ccc(N)cc3)cc(C(F)(F)F)n2)cc1,=,4732711.16,nM,4732711.16
6185,CHEMBL3978014,Cc1cc(C)c2c(OCCCC(=O)N3CCN(c4cccc(Cl)c4)CC3)nsc2n1,=,4570881.9,nM,4570881.9
5213,CHEMBL257295,CS(=O)(=O)c1ccc(-c2nc(NC3CCCCC3)cc(C(F)(F)F)n2)cc1,=,4192953.06,nM,4192953.06
5199,CHEMBL414005,COc1ccc(CNc2cc(C(F)(F)F)nc(-c3ccc(S(C)(=O)=O)cc3)n2)cc1,=,3672484.74,nM,3672484.74
5179,CHEMBL272208,CC(C)Nc1cc(NCc2ccccc2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,3652329.91,nM,3652329.91
5221,CHEMBL273118,CS(=O)(=O)c1ccc(-c2nc(NCc3cc4ccccc4s3)cc(C(F)(F)F)n2)cc1,=,3408317.15,nM,3408317.15
5225,CHEMBL271763,CS(=O)(=O)c1ccc(-c2nc(NCc3ccncc3)cc(C(F)(F)F)n2)cc1,=,3350117.2,nM,3350117.2
5201,CHEMBL259678,CS(=O)(=O)c1ccc(-c2nc(NCc3cc(F)cc(F)c3)cc(C(F)(F)F)n2)cc1,=,3330044.22,nM,3330044.22
5331,CHEMBL156482,CS(=O)(=O)c1ccc(-c2sc3nc(C(F)(F)F)nn3c2-c2ccccc2)cc1,=,3019951.72,nM,3019951.72
5321,CHEMBL421826,Cc1cccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)sc3nc(C(F)(F)F)nn23)c1,=,3019951.72,nM,3019951.72
7431,CHEMBL5202840,CC1=NN(c2cccc(Cl)c2)C(=O)/C1=C\c1cn(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)c2ccccc12,=,3000000.0,nM,3000000.0
2363,CHEMBL68873,CS(=O)(=O)c1ccc(-c2occ(Cl)c(=O)c2-c2cc(F)cc(F)c2)cc1,=,2343689.1,nM,2343689.1
2370,CHEMBL306639,CS(=O)(=O)c1ccc(-c2occc(=O)c2-c2ccc(F)cc2)cc1,=,2236145.2,nM,2236145.2
5211,CHEMBL403720,CN(Cc1ccccc1)c1cc(C(F)(F)F)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,2200239.72,nM,2200239.72
5214,CHEMBL257103,CS(=O)(=O)c1ccc(-c2nc(NC3CCCC3)cc(C(F)(F)F)n2)cc1,=,2101309.38,nM,2101309.38
5317,CHEMBL2261940,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)SC(Br)C2)cc1,=,1995262.31,nM,1995262.31
5210,CHEMBL271312,CC(Nc1cc(C(F)(F)F)nc(-c2ccc(S(C)(=O)=O)cc2)n1)c1ccccc1,=,1916461.06,nM,1916461.06
5196,CHEMBL403099,Cc1ccsc1CNc1cc(C(F)(F)F)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,1894698.01,nM,1894698.01
5209,CHEMBL270723,CS(=O)(=O)c1ccc(-c2nc(SCc3ccccc3)cc(C(F)(F)F)n2)cc1,=,1894698.01,nM,1894698.01
2367,CHEMBL71423,Cc1ccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)occ(Cl)c2=O)cc1,=,1760759.34,nM,1760759.34
5198,CHEMBL257300,CS(=O)(=O)c1ccc(-c2nc(NCc3ccc(O)cc3)cc(C(F)(F)F)n2)cc1,=,1574816.66,nM,1574816.66
2404,CHEMBL68866,CS(=O)(=O)c1ccc(-c2occ(Cl)c(=O)c2-c2ccc(F)cc2)cc1,=,1478427.39,nM,1478427.39
2360,CHEMBL306673,CS(=O)(=O)c1ccc(-c2occ(Cl)c(=O)c2-c2cccc(F)c2)cc1,=,1425607.59,nM,1425607.59
2362,CHEMBL68972,CS(=O)(=O)c1ccc(-c2occ(Cl)c(=O)c2-c2cccc(Cl)c2)cc1,=,1416772.11,nM,1416772.11
2405,CHEMBL67759,CS(=O)(=O)c1ccc(-c2occ(Cl)c(=O)c2-c2ccc(F)cc2F)cc1,=,1386117.35,nM,1386117.35
5216,CHEMBL257491,CCCCCNc1cc(C(F)(F)F)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,1372524.17,nM,1372524.17
5215,CHEMBL257483,CC(C)CNc1cc(C(F)(F)F)nc(-c2ccc(S(C)(=O)=O)cc2)n1,=,1266164.11,nM,1266164.11
6188,CHEMBL3912571,Cc1cc(C)c2c(=O)n(CN3CCN(c4ccccc4F)CC3)sc2n1,=,1258925.41,nM,1258925.41
5220,CHEMBL408897,NS(=O)(=O)c1ccc(-c2nc(NCC3CCCCC3)cc(C(F)(F)F)n2)cc1,=,1244571.93,nM,1244571.93
2406,CHEMBL70264,CS(=O)(=O)c1ccc(-c2occ(Cl)c(=O)c2-c2ccc(F)c(F)c2)cc1,=,1234809.61,nM,1234809.61
2403,CHEMBL72352,CS(=O)(=O)c1ccc(-c2occ(Cl)c(=O)c2-c2ccccc2)cc1,=,1080936.05,nM,1080936.05
3144,CHEMBL521,CC(C)Cc1ccc(C(C)C(=O)O)cc1,=,1030000.0,nM,1030000.0
3143,CHEMBL154,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,=,1010000.0,nM,1010000.0
3927,CHEMBL1814706,CC(C(=O)[O-])c1ccc(CC2CCCC2=O)cc1-c1ccc(OC(F)(F)F)cc1.[Na+],>,1000000.0,nM,1000000.0
3642,CHEMBL1240658,CCCC(=O)N/N=C/c1coc2ccccc2c1=O,>,1000000.0,nM,1000000.0
3918,CHEMBL1814715,CSc1ccc(-c2cc(C(C)C(=O)[O-])ccc2CC2CCCC2=O)cc1.[Na+],>,1000000.0,nM,1000000.0
3917,CHEMBL1814714,COc1ccc(-c2cc(C(C)C(=O)[O-])ccc2CC2CCCC2=O)cc1.[Na+],>,1000000.0,nM,1000000.0
4907,CHEMBL1957454,CSCC[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)c1ccc(F)cc1)C(=O)N[C@@H](CC(=O)O)C(=O)O,>,1000000.0,nM,1000000.0
3921,CHEMBL1814718,CC(C(=O)[O-])c1ccc(CC2CCCC2=O)c(-c2ccc(C(=O)[O-])cc2)c1.[Na+].[Na+],>,1000000.0,nM,1000000.0
60,CHEMBL145354,CC(=O)Oc1ccccc1SCCCc1ccccc1,>,1000000.0,nM,1000000.0
116,CHEMBL145626,CC(=O)Oc1ccccc1SCCCOc1ccccc1,>,1000000.0,nM,1000000.0
4910,CHEMBL1957457,CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccc(F)cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O,>,1000000.0,nM,1000000.0
115,CHEMBL144840,CCC(=O)Oc1ccccc1SC,>,1000000.0,nM,1000000.0
2361,CHEMBL70296,CS(=O)(=O)c1ccc(-c2occ(Cl)c(=O)c2-c2ccc(Cl)cc2)cc1,=,936052.05,nM,936052.05
623,CHEMBL110462,CS(=O)(=O)c1ccc(-n2cc(CO)nc2-c2cccnc2)cc1,=,934000.0,nM,934000.0
2371,CHEMBL69567,CS(=O)(=O)c1ccc(-c2occ(Cl)c(=S)c2-c2ccc(F)cc2)cc1,=,835795.45,nM,835795.45
5207,CHEMBL2234865,CS(=O)(=O)c1ccc(-c2nc(NCCCc3cccs3)cc(C(F)(F)F)n2)cc1,=,826456.5,nM,826456.5
3639,CHEMBL1241822,O=C(N/N=C/c1coc2ccccc2c1=O)c1ccccc1,=,802320.0,nM,802320.0
7169,CHEMBL4791001,COC(=O)CC1N(C(=O)Nc2nnc(C)s2)C(=O)c2ccccc2S1(=O)=O,=,799900.0,nM,799900.0
2366,CHEMBL1626804,Cc1cc[s+](-c2c(C3CCC(S(C)(=O)=O)CC3)occ(Cl)c2=O)c1,=,736037.6,nM,736037.6
2364,CHEMBL304793,CCc1ccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)occ(Cl)c2=O)cc1,=,720111.92,nM,720111.92
4904,CHEMBL1957451,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(=O)O)C(=O)O,=,700000.0,nM,700000.0
5219,CHEMBL270111,CS(=O)(=O)c1ccc(-c2nc(NCC3CCCCC3)cc(C(F)(F)F)n2)cc1,=,675678.34,nM,675678.34
6943,CHEMBL4552843,COOC[C@@]1(C)CC[C@]2(C)CC[C@]3(C)[C@@H]4CC(=O)c5cc(OC)c(O)cc5[C@]4(C)CC[C@@]3(C)C2C1,=,660000.0,nM,660000.0
6946,CHEMBL4444718,CC(C)[C@@H]1CC[C@]2(C)[C@@H]3C(C=C4[C@@H]5CC(C)(C)CC[C@]5(C)CC[C@]42C)OC(=O)CC[C@]31C,=,650000.0,nM,650000.0
6168,CHEMBL3906347,Cc1cc(C)c2c(=O)n(CC(=O)N3CCN(c4cccc(Cl)c4)CC3)sc2n1,=,605100.0,nM,605100.0
3126,CHEMBL455827,C[C@@H]1OC(O[C@@H]2[C@@H](O)[C@H](OCCc3ccc(O)c(O)c3)O[C@H](CO[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@H]2OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O,=,600000.0,nM,600000.0
3909,CHEMBL1814708,CC(C(=O)[O-])c1ccc(CC2CCCC2=O)cc1I.[Na+],=,540000.0,nM,540000.0
6944,CHEMBL4450052,C=C(C)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@H](CCC4[C@@]5(C)[C@H](O)C[C@H](OC(C)=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,=,540000.0,nM,540000.0
3923,CHEMBL1814721,Cc1ccc(-c2cc(CC3CCCC3=O)ccc2C(C)C(=O)[O-])cc1.[Na+],=,540000.0,nM,540000.0
5200,CHEMBL259469,CS(=O)(=O)c1ccc(-c2nc(NCc3ccc(C(F)(F)F)cc3)cc(C(F)(F)F)n2)cc1,=,520834.81,nM,520834.81
5202,CHEMBL272587,Cc1cccc(CNc2cc(C(F)(F)F)nc(-c3ccc(S(C)(=O)=O)cc3)n2)c1,=,518143.44,nM,518143.44
90,CHEMBL146441,CSc1ccccc1OC(=O)CBr,=,510000.0,nM,510000.0
5609,CHEMBL122,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,>,500000.0,nM,500000.0
7016,CHEMBL4461324,CS(=O)(=O)c1ccc(-c2nnnn2-c2ccc(CO)cc2)cc1,>,500000.0,nM,500000.0
4908,CHEMBL1957455,CSCC[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)c1ccc(F)cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O,=,500000.0,nM,500000.0
5767,CHEMBL3309831,Cc1ccc(S(=O)(=O)N2N=C(C(F)(F)F)CC2c2cccc3c2OCCO3)cc1,>,500000.0,nM,500000.0
7024,CHEMBL4528204,NS(=O)(=O)c1ccc(-c2nnnn2-c2ccc(O)cc2)cc1,>,500000.0,nM,500000.0
6045,CHEMBL1095380,O=C(O)c1cc(/C=C/c2ccc(O)cc2)ccc1O,>,500000.0,nM,500000.0
7180,CHEMBL4796006,Cc1cccc(NC(=O)N2C(=O)c3ccccc3S(=O)(=O)C2C)n1,=,494900.0,nM,494900.0
3147,CHEMBL393292,C[C@H]1O[C@H](O[C@@H]2[C@@H](O)[C@H](OCCc3ccc(O)c(O)c3)O[C@H](CO[C@H]3OCC(O)(CO)[C@@H]3O)[C@H]2OC(=O)/C=C/c2ccc(O)c(O)c2)[C@@H](O)[C@@H](O)[C@@H]1O,=,490000.0,nM,490000.0
3480,CHEMBL1086610,O=C(Nc1ccc(CCc2ccc(Cl)c(Cl)c2)cc1)C1=C(O)c2ccccc2S(=O)(=O)N1,=,467000.0,nM,467000.0
6942,CHEMBL4453592,CC(C)[C@@H]1CC[C@]2(C)[C@@H]3C(C=C4[C@@H]5CC(C)(C)C(=O)C[C@]5(C)CC[C@]42C)OC(=O)CC(O)[C@]31C,=,460000.0,nM,460000.0
7174,CHEMBL4777820,COC(=O)CC1N(C(=O)Nc2nccs2)C(=O)c2ccccc2S1(=O)=O,=,459700.0,nM,459700.0
6161,CHEMBL3948850,Cc1cc(C)c2c(=O)n(CCCC(=O)N3CCN(c4ccccc4)CC3)sc2n1,=,459000.0,nM,459000.0
4905,CHEMBL1957452,CSCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1ccc(F)cc1)C(=O)N[C@@H](CC(=O)O)C(=O)O,=,450000.0,nM,450000.0
6945,CHEMBL4475300,C=C(C)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@H](CCC4[C@@]5(C)[C@H](O)C[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,=,450000.0,nM,450000.0
4909,CHEMBL1957456,CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccc(F)cc1)C(=O)N[C@@H](CC(=O)O)C(=O)O,=,450000.0,nM,450000.0
7173,CHEMBL4796545,COC(=O)CC1N(C(=O)Nc2ccccc2)C(=O)c2ccccc2S1(=O)=O,=,445300.0,nM,445300.0
3924,CHEMBL1814722,COc1ccc(-c2cc(CC3CCCC3=O)ccc2C(C)C(=O)[O-])cc1.[Na+],=,430000.0,nM,430000.0
6950,CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,=,430000.0,nM,430000.0
6947,CHEMBL4443307,COOC[C@@]1(C)CC[C@]2(C)CC[C@]3(C)[C@@H]4CCc5cc(O)c(O)cc5[C@]4(C)CC[C@@]3(C)C2C1,=,430000.0,nM,430000.0
7175,CHEMBL4782861,CC1NC(=O)c2ccccc2S1(=O)=O,=,423900.0,nM,423900.0
3916,CHEMBL1814713,Cc1ccc(-c2cc(C(C)C(=O)[O-])ccc2CC2CCCC2=O)cc1.[Na+],=,420000.0,nM,420000.0
4874,CHEMBL1946749,O=C(O)Cc1c(-c2ccccc2)n(C(=O)c2ccc(Cl)cc2)c2ccccc12,>,400000.0,nM,400000.0
4960,CHEMBL39,NCCc1c[nH]c2ccc(O)cc12,>,400000.0,nM,400000.0
4873,CHEMBL1946565,CCc1c(CC(=O)O)c2ccccc2n1C(=O)c1ccc(Cl)cc1,>,400000.0,nM,400000.0
4957,CHEMBL1760551,COc1cc(/C=C/C(=O)NCCc2c[nH]c3ccc(O)cc23)cc(OC)c1O,>,400000.0,nM,400000.0
6172,CHEMBL3974298,Cc1cc(C)c2c(=O)n(CCC(=O)N3CCN(c4cccc(Cl)c4)CC3)sc2n1,=,388000.0,nM,388000.0
1467,CHEMBL158842,CCCCCCCCCCCCCCCc1cccc(OCC)c1CSc1nc2cc([N+](=O)[O-])ccc2[nH]1,=,384000.0,nM,384000.0
7488,CHEMBL5182048,Cn1ccc2ccc(O)c(C(=O)OCC(F)(F)F)c21,>,380000.0,nM,380000.0
7490,CHEMBL5174327,COc1ccc2ccn(C)c2c1C(=O)OCC(F)(F)F,>,380000.0,nM,380000.0
7489,CHEMBL5190903,CCOC(=O)c1c(O)ccc2ccn(C)c12,>,380000.0,nM,380000.0
7493,CHEMBL5200803,Cn1ccc2c(CCCO)cc(O)c(C(=O)OCC(F)(F)F)c21,>,380000.0,nM,380000.0
7495,CHEMBL5198246,Cn1ccc2ccc(C(=O)OCC(F)(F)F)c(O)c21,>,380000.0,nM,380000.0
6171,CHEMBL3903347,Cc1cc(C)c2c(=O)n(CCC(=O)N3CCN(c4ccccc4)CC3)sc2n1,=,368200.0,nM,368200.0
101,CHEMBL144281,CSc1ccccc1OC(=O)CCl,=,360000.0,nM,360000.0
6158,CHEMBL3965233,Cc1cc(C)c2c(=O)n(CN3CCN(C4CCCCC4)CC3)sc2n1,=,358800.0,nM,358800.0
5224,CHEMBL409468,NS(=O)(=O)c1ccc(-c2nc(NCc3ccco3)cc(C(F)(F)F)n2)cc1,=,358426.41,nM,358426.41
3572,CHEMBL1164950,COc1ccc2c(c1)c1c(n2C(=O)c2cccc(F)c2)CCN(CCCOc2cc(F)cc(C3(OC)CCOCC3)c2)C1.Cl,=,357200.0,nM,357200.0
4906,CHEMBL1957453,CSCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1ccc(F)cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O,=,350000.0,nM,350000.0
6167,CHEMBL3977032,CCC(C(=O)N1CCN(c2ccccc2)CC1)n1sc2nc(C)cc(C)c2c1=O,=,343600.0,nM,343600.0
6166,CHEMBL3933250,Cc1cc(C)c2c(OC(C)C(=O)O)nsc2n1,=,326900.0,nM,326900.0
7181,CHEMBL4763941,CC1N(C(=O)Nc2ccccc2)C(=O)c2ccccc2S1(=O)=O,=,320400.0,nM,320400.0
6170,CHEMBL3915322,COc1cc2c(cc1OC)CN(C(=O)CCn1sc3nc(C)cc(C)c3c1=O)CC2,=,303400.0,nM,303400.0
6165,CHEMBL3905241,Cc1cc(C)c2c(=O)n(CCCC(=O)O)sc2n1,=,302300.0,nM,302300.0
